sub107_1,sub107_2,sub107_3,sub107_4,sub107_5,sub107_6,sub107_7,sub107_9,sub108_2,sub108_3,sub109_1,sub109_2,sub109_3,sub109_4,sub109_5,sub109_6,sub109_7,sub109_8,sub109_9,sub110_1,sub110_2,sub110_4,sub110_5,sub110_6,sub110_7,sub110_9,sub111_1,sub111_2,sub111_5,sub111_7,sub111_9,sub112_1,sub112_2,sub112_3,sub112_4,sub112_5,sub112_6,sub112_7,sub112_9,sub113_1,sub113_2,sub113_3,sub113_4,sub113_5,sub113_6,sub113_7,sub113_8,sub113_9,sub114_5,sub114_7
-0.143793715145055,-0.106463141237386,-0.100648791606272,-0.0728136657102427,-0.165393298272997,-0.135993588406452,-0.136160597300113,-0.133413803335138,0.0611020408504792,-0.00751236673586262,-0.244074597494211,-0.294003627028068,-0.253338413963787,-0.299439533524691,-0.264131153271467,-0.23677707217734,-0.165779556977993,-0.193843115307837,-0.153925603715648,-0.139599823961562,-0.274165357723564,0.00134918558595279,-0.207230356876902,-0.125345052974266,-0.171921919726908,-0.0684248147387582,-0.119305952132295,-0.0359539490602757,-0.086947466719104,-0.0300675624820582,-0.0109752745538518,-0.0935327498527861,-0.11079499811494,-0.124908147582469,-0.320575883216327,-0.212931095382149,-0.129269112165107,-0.208241125682218,-0.201962091321922,-0.0723517523277957,-0.120000707011114,-0.11810519262515,-0.0603379244916449,-0.026448681216882,-0.22351737099553,-0.126304607080081,-0.0962204298290558,-0.204655472445761,-0.00984854595030346,0.0668068589392034
-0.141723514740037,-0.123145275152378,-0.105836830500474,-0.108400568565165,-0.178228404411673,-0.125918015674636,-0.109260064395765,-0.151304623114308,0.0441767487669318,0.00690138015114113,-0.231919065250189,-0.26484444535017,-0.245703064766521,-0.277224212994603,-0.234097838103016,-0.213448871845896,-0.169294374396664,-0.174323837066402,-0.141899119082743,-0.102463459215936,-0.121906966067232,-0.0209424018239793,-0.193444292888307,-0.103108021767678,-0.123424292430554,-0.0524080340384994,-0.11867846706117,-0.0607997364968463,-0.0475877174420298,-0.0606111488313019,0.0131348805941012,-0.0853304002071614,-0.121236114158484,-0.132767918471321,-0.308924678639333,-0.189136432426339,-0.117224778436907,-0.256191497167251,-0.218631880004077,-0.0949425464578012,-0.131463742547351,-0.127900444369825,-0.0915763879613437,-0.0426355062228146,-0.224823626002588,-0.139565799573936,-0.122195641273157,-0.213293582584337,0.00233410400102959,0.0621952341025677
-0.13534671782115,-0.137135198825211,-0.116827254243365,-0.152341309673483,-0.182588538244781,-0.1197577602155,-0.116819675618662,-0.166681227355604,0.0188082960004487,0.0193251354507809,-0.216179141938936,-0.240714152750943,-0.223333878670388,-0.250261695595157,-0.199561992978003,-0.19119531389813,-0.164700057180686,-0.154242608881694,-0.131769606069493,-0.0833907384108439,-0.0419830602618442,-0.0240469712136053,-0.170012201387199,-0.0803587990433573,-0.0930192515364672,-0.0512340083024276,-0.119759752188238,-0.0874264002553999,-0.0440434603928919,-0.0721892852428105,0.00102723196789894,-0.081906660660881,-0.13172650734458,-0.140419439844113,-0.288601236205744,-0.177025857374806,-0.115302124999525,-0.27697701898373,-0.20523266166144,-0.108598030595176,-0.13996604406316,-0.130144860914014,-0.11869415434346,-0.0586732541699828,-0.221272848673136,-0.139907635472496,-0.146380599539516,-0.219124648364542,0.000767447587515899,0.0498044497401407
-0.128972703348032,-0.145695581793811,-0.137025217697475,-0.188653524741781,-0.179877020443068,-0.116075662754574,-0.146770785115932,-0.173608783958173,-0.00916327853126021,0.0128915185617477,-0.200403936222163,-0.223501148114801,-0.19420582255694,-0.21638126543861,-0.165132113969947,-0.167989847178859,-0.148436819237405,-0.132134170067416,-0.122596756282434,-0.0858931774483343,-0.0246256409848673,-0.0214785430253477,-0.148136736958846,-0.0655174493825549,-0.075895848712127,-0.0531633660335636,-0.113933716371071,-0.119685817445528,-0.059998894953018,-0.0702235034187079,-0.0291169830260161,-0.0839079564615146,-0.134856386886094,-0.144035631352494,-0.262871532233622,-0.179415503616073,-0.12419351783969,-0.262749406766808,-0.166245987874665,-0.11541117502956,-0.14701798037429,-0.128646649345811,-0.138863406833895,-0.0737564297323154,-0.218911042225109,-0.132001621162835,-0.164480798230369,-0.222485222581906,-0.00645195538641986,0.0311677503248733
-0.108854838451504,-0.144194190113284,-0.144412090521079,-0.197980978965495,-0.172115608040225,-0.116439711641198,-0.16377089292749,-0.169477212234269,-0.0161210365167833,-0.0130093404331128,-0.186179229149072,-0.209622075599298,-0.162735839387316,-0.175762413810096,-0.131598201658937,-0.146024330415214,-0.133218247554573,-0.108229358228413,-0.113181620926156,-0.101118959878168,-0.0516645952967262,-0.0139514420636914,-0.13620107043048,-0.0637697724793057,-0.0728998205002444,-0.0457552100001441,-0.106651871871053,-0.136121813525144,-0.0695740110790878,-0.0567904052542366,-0.0529831070529699,-0.0767246041950846,-0.130023801708002,-0.137050305900083,-0.234299268280448,-0.187255549739427,-0.137685670593404,-0.240320617817825,-0.128253043886059,-0.12144441308899,-0.156529359381207,-0.127528123966698,-0.148972221534834,-0.0878137061534573,-0.21166075708605,-0.127780327325249,-0.175752037966803,-0.222462083302651,-0.0179006839852243,0.0148005384784395
-0.0842058229413482,-0.133662311451563,-0.134743393941402,-0.187758312930413,-0.160063148732414,-0.117232088594422,-0.15963449682354,-0.158406901799049,-0.010385589771814,-0.0351976244839122,-0.171490300017156,-0.191635263767089,-0.13382824538413,-0.124504769096167,-0.0971608341587712,-0.122427958337209,-0.104512672116338,-0.0817437364031802,-0.0982661663089562,-0.100467657734312,-0.0669403369611513,-0.00272077241140623,-0.127510615357538,-0.064146567665712,-0.072611299707343,-0.0377544967783711,-0.0961235145339629,-0.10305985986142,-0.0575937848210704,-0.0446202558489175,-0.0616795338334447,-0.0568561088902779,-0.111525839240839,-0.126369667585532,-0.2054648718015,-0.186182552960398,-0.148638305338824,-0.218850355917459,-0.110197529176677,-0.127105061203218,-0.165673560781141,-0.125863722624812,-0.150235623057882,-0.101386814002247,-0.20329017965019,-0.131755142357662,-0.180503647925836,-0.212746158674152,-0.0254467669054001,0.00761650433344276
-0.0621298493891345,-0.116009895310511,-0.11523437381927,-0.166161824830099,-0.145327096354557,-0.114902751315105,-0.137882025476848,-0.140159542015799,0.00499541019754459,-0.0360502626620749,-0.156151426950633,-0.165555284491217,-0.102918349394537,-0.0932197522714393,-0.0574348016295801,-0.0968221534545218,-0.076605364398269,-0.0533359733991441,-0.0759172773127684,-0.0794788766581901,-0.0602645920698244,0.0124817841063644,-0.112557170378976,-0.0586924799241392,-0.0677871030771646,-0.0281118418087629,-0.0826095857782991,-0.0632605508892939,-0.035089376760733,-0.0312455972904385,-0.0635375787233354,-0.0245713673070982,-0.0814506815967418,-0.110293925882056,-0.171451438359211,-0.167803151828057,-0.147330282043182,-0.197753119770229,-0.1060848207452,-0.131174623811858,-0.167899624300977,-0.120675644280669,-0.147504814421525,-0.112559664242651,-0.194636129063816,-0.13826938266477,-0.179696794828562,-0.191573315348945,-0.0309501551809742,0.00716888618116202
-0.0495257107005347,-0.0957587543286657,-0.100684136781772,-0.139466125411043,-0.127960789857575,-0.108983188091382,-0.117472059234935,-0.116523269942141,0.0140494436640604,-0.0237512000810061,-0.134798360129171,-0.133564268468626,-0.0691209117833221,-0.0532446452551119,-0.0139749724346414,-0.0674745415115256,-0.04963149682447,-0.0251041141961631,-0.0481511304786664,-0.0524910032672992,-0.0398137061293756,-0.0044078236487915,-0.0735977917321574,-0.0442032258749331,-0.058091157804167,-0.0214931739333895,-0.0693373747374402,-0.0249987300975969,-0.0165499918482633,-0.0191428397255008,-0.0632700141013331,0.011796399994577,-0.0451624007617766,-0.0929284712009571,-0.132434104782932,-0.132122998999866,-0.1359416733016,-0.164381202356299,-0.103398140115147,-0.127395793500877,-0.159430123893835,-0.110565215232084,-0.142380612427737,-0.118397909793032,-0.185299906565044,-0.139323340348027,-0.175434716263634,-0.160377821503547,-0.0319045833590939,0.00932409487886013
-0.0437239320928972,-0.0768402093247511,-0.0918183440187433,-0.110039445955534,-0.107330275883173,-0.101263209308914,-0.104560189867389,-0.0899100998975727,0.018063986787469,-0.0149017243542564,-0.104429583640063,-0.09775647488717,-0.0320988249434039,-0.0119684308095296,0.0269630714700616,-0.0351935583984904,-0.0196406990071493,0.0028909997969082,-0.0199420286967014,-0.039971059203577,-0.0201789064521248,-0.0261226702277026,-0.0359038009209133,-0.0252764305008326,-0.0470607122334572,-0.0156849596238642,-0.0558386374359518,-0.0478706441147937,-0.0118718937007017,-0.013544842130753,-0.0638109522193987,0.0426196658727873,-0.0133893957929261,-0.0743144516702974,-0.0915847838358674,-0.088269900317723,-0.122194064562183,-0.119013037176965,-0.0940325102567921,-0.116068830093571,-0.140518217790163,-0.0966956148221434,-0.133435466868526,-0.117298798072574,-0.171921534944513,-0.13142592219424,-0.163595498825068,-0.126519316798032,-0.0337730773935958,0.0103348129405768
-0.0403287254408666,-0.0610771697306274,-0.0840460171589915,-0.0843459854056916,-0.0842982860028888,-0.0907396804143331,-0.0961537637404005,-0.0639093785684659,0.0164088360432402,-0.0129348729924566,-0.0644336305929609,-0.060143181531937,0.00697756833841442,0.0321998456821996,0.0600958582358714,0.0022592935010316,0.0143317244521655,0.0296874458159533,0.00685929109779724,-0.0431032415031435,-0.00175993981997565,-0.0389632714810907,-0.0105469232354467,-0.00689427004981189,-0.0368444732833507,-0.00409290539680357,-0.0407965840255534,-0.0440641810764851,-0.0179474839852927,-0.0126286685732753,-0.060930783385135,0.0606539351323836,0.0037113678534528,-0.055096118388528,-0.0547864015513548,-0.043903588332696,-0.109406095528172,-0.0722628492352787,-0.0760918899095894,-0.103267983849778,-0.118955126959912,-0.0815706568960166,-0.119776157956144,-0.108818998974649,-0.151068600864348,-0.119328816452872,-0.146005106454349,-0.0939734104437954,-0.0348015639233899,0.0067115443610739
