subject,condition,amplitude,tmax,rt,n_targets,n_hit,n_miss,n_distractors,n_fa,n_cr,isi_power,oddball_power,powerSum
107_1,acc_oddball,1.25828523059179,1233.33333333333,0.572487343421492,149,130,19,651,4,647,3.68087419526881,4.86998343158896,8.55085762685777
107_2,acc_oddball,1.10846140181878,1166.66666666667,0.51477516149305,142,130,12,658,3,655,2.17681027269563,5.09039495590086,7.2672052285965
107_3,acc_oddball,1.06902764238879,1200,0.480484406507381,145,136,9,655,6,649,5.54180251249351,4.8734556794314,10.4152581919249
107_4,acc_oddball,0.942385724092439,1200,0.460282070295974,146,141,5,654,5,649,4.06529227778453,4.95218483504396,9.01747711282849
107_5,acc_oddball,1.28762630114222,1933.33333333333,0.42889885529022,150,150,0,650,1,649,5.09580032831949,5.20530437967859,10.3011047079981
107_6,acc_oddball,0.980174156031459,2000,0.412117434501114,146,143,3,654,3,651,3.79468344068955,3.93300124297222,7.72768468366177
107_7,acc_oddball,0.959423166799341,1133.33333333333,0.379988944446186,145,145,0,655,3,652,4.42035368328522,2.99653765723911,7.41689134052432
107_9,acc_oddball,1.1120087400051,1266.66666666667,0.327912330481303,143,141,2,657,2,655,4.66316043387275,4.45403719968838,9.11719763356113
108_2,acc_oddball,0.537783521069937,866.666666666667,0.468833026764724,139,104,35,661,7,654,0.200021504539174,2.5075997389242,2.70762124346337
108_3,acc_oddball,0.516172809987184,1066.66666666667,0.363001478504857,146,133,13,654,21,633,3.34078613225183,3.30465853014232,6.64544466239414
109_1,acc_oddball,0.968695230548205,900,0.289138302605923,142,140,2,658,3,655,5.03198017559171,4.12731336366874,9.15929353926045
109_2,acc_oddball,1.3726000983634,900,0.224755673506378,144,144,0,656,0,656,4.93490051122473,4.17990025428572,9.11480076551046
109_3,acc_oddball,1.81154506710131,833.333333333333,0.219308624721674,138,138,0,662,2,660,5.21973258351898,5.64636107582963,10.8660936593486
109_4,acc_oddball,1.3079612439927,833.333333333333,0.214916661853245,139,139,0,661,0,661,5.64112305172404,4.45055072386252,10.0916737755866
109_5,acc_oddball,1.77479555785589,833.333333333333,0.226327407682159,150,150,0,650,1,649,5.2966031088558,5.43460944960994,10.7312125584657
109_6,acc_oddball,1.5402607695446,833.333333333333,0.209979034366796,143,143,0,657,1,656,5.17926747318659,5.386362418704,10.5656298918906
109_7,acc_oddball,1.45213414426134,866.666666666667,0.22333767592274,143,142,1,657,2,655,1.62897372327388,5.64386366857386,7.27283739184773
109_8,acc_oddball,1.33360123357554,866.666666666667,0.231632869809038,148,148,0,652,2,650,3.82138812707634,5.50137658782274,9.32276471489908
109_9,acc_oddball,1.36062011368406,833.333333333333,0.216847272621145,145,143,2,655,1,654,4.44301013769817,5.68965730254008,10.1326674402383
110_1,acc_oddball,0.962000427200102,1133.33333333333,0.372452188640351,147,140,7,653,2,651,1.79760390413709,4.77769203218314,6.57529593632023
110_2,acc_oddball,0.655102895769235,1033.33333333333,0.240219524103214,148,146,2,652,6,646,-0.00325425522250434,1.24284469463,1.23959043940749
110_4,acc_oddball,0.738327998670088,1400,0.214768402766565,149,145,4,651,6,645,0.374007050367352,-1.01358568472326,-0.639578634355909
110_5,acc_oddball,1.39133636202134,1000,0.251352312420042,147,144,3,653,10,643,1.51244950652511,2.25002634624824,3.76247585277335
110_6,acc_oddball,0.825928384707804,1000,0.237202501251635,147,145,2,653,8,645,-1.31792953723661,2.39490480908282,1.07697527184621
110_7,acc_oddball,1.06720536084187,1033.33333333333,0.247204415763411,140,133,7,660,13,647,0.586784590635959,-0.985838111897731,-0.399053521261772
110_9,acc_oddball,1.20195794360227,1066.66666666667,0.227770563251346,143,141,2,657,10,647,4.123097298749,3.09802705623404,7.22112435498304
111_1,acc_oddball,1.52994412503086,2033.33333333333,0.565646631029301,144,108,36,656,3,653,2.95229509769814,4.23112652183502,7.18342161953316
111_2,acc_oddball,0.663757893528678,1933.33333333333,0.456512829182382,148,114,34,652,5,647,0.918926403220959,2.14233807578566,3.06126447900662
111_5,acc_oddball,0.585906296179445,2066.66666666667,0.512052934074503,142,120,22,658,3,655,1.2769166386468,1.3449663738034,2.6218830124502
111_7,acc_oddball,0.601062265567283,1900,0.462567380710425,145,128,17,655,2,653,2.09964728173311,-1.27417038292288,0.825476898810232
111_9,acc_oddball,0.339704837808133,2100,0.508957375678592,150,132,18,650,3,647,-1.01924069981033,1.47126232313977,0.452021623329446
112_1,acc_oddball,1.16018237560198,1833.33333333333,0.684811512028153,145,44,101,655,21,634,0.693441742922925,1.98682037162913,2.68026211455206
112_2,acc_oddball,1.22734713769466,1633.33333333333,0.665365391116357,144,75,69,656,4,652,-0.179022185410503,1.93883542619637,1.75981324078587
112_3,acc_oddball,1.3301398400511,1366.66666666667,0.5862011081121,147,93,54,653,3,650,1.22670704596773,1.50648895919844,2.73319600516617
112_4,acc_oddball,1.3140890378943,1066.66666666667,0.580856406829428,151,112,39,649,3,646,4.75266542390713,4.36497359324783,9.11763901715496
112_5,acc_oddball,1.36013069063111,1100,0.596643788762675,146,108,38,654,5,649,0.312609816790044,2.31648072182695,2.62909053861699
112_6,acc_oddball,1.1251867144368,1300,0.584838640805005,140,97,43,660,3,657,0.389117314715134,0.211539196188406,0.60065651090354
112_7,acc_oddball,0.776007845647366,1133.33333333333,0.557026937136265,144,115,29,656,1,655,3.53089379882041,2.4116693627974,5.94256316161781
112_9,acc_oddball,0.707283284115648,1100,0.565628579648195,143,114,29,657,1,656,1.79224379898187,2.30959438401309,4.10183818299496
113_1,acc_oddball,1.0174202489458,1266.66666666667,0.623735436632275,142,71,71,658,31,627,5.49529305218952,2.65652058194382,8.15181363413335
113_2,acc_oddball,1.51201379574613,1266.66666666667,0.578471271249226,147,72,75,653,0,653,5.12122680688605,3.71672489701421,8.83795170390026
113_3,acc_oddball,1.22007496990067,1166.66666666667,0.525731450166913,144,101,43,656,2,654,3.76067401397764,-0.286005673603572,3.47466834037407
113_4,acc_oddball,1.0021262925573,1200,0.537112142327772,147,79,68,653,4,649,1.4805214504858,-1.45730457395966,0.02321687652614
113_5,acc_oddball,1.02107755956114,1200,0.509435702793474,150,92,58,650,3,647,4.08057160743501,3.18998896171691,7.27056056915191
113_6,acc_oddball,1.04552679648183,1066.66666666667,0.502027521238488,138,100,38,662,3,659,3.7846919671199,-0.402405145691575,3.38228682142832
113_7,acc_oddball,0.991912844566774,1200,0.474017850907856,144,90,54,656,2,654,5.28347997109957,3.0401730884994,8.32365305959897
113_8,acc_oddball,1.05852958623277,1233.33333333333,0.462598446307659,137,94,43,663,0,663,2.49801937291391,0.479655109424841,2.97767448233875
113_9,acc_oddball,0.907008408277819,1100,0.459016178034857,143,93,50,657,2,655,4.74670897833994,-0.170442808120637,4.5762661702193
114_5,acc_oddball,0.432128001439042,1800,0.568727355324158,147,83,64,653,5,648,-0.43794167798168,2.70231514172535,2.26437346374367
114_7,acc_oddball,0.32209972817734,666.666666666667,0.515895303664729,143,85,58,657,0,657,0.56902808455145,0.424579426576045,0.993607511127495
107_1,omission,0.265851583452233,766.666666666667,0.572487343421492,149,130,19,651,4,647,3.68087419526881,4.86998343158896,8.55085762685777
107_2,omission,0.523358507366264,900,0.51477516149305,142,130,12,658,3,655,2.17681027269563,5.09039495590086,7.2672052285965
107_3,omission,0.177268521557566,1033.33333333333,0.480484406507381,145,136,9,655,6,649,5.54180251249351,4.8734556794314,10.4152581919249
107_4,omission,0.588638330163507,966.666666666667,0.460282070295974,146,141,5,654,5,649,4.06529227778453,4.95218483504396,9.01747711282849
107_5,omission,0.422697485751992,866.666666666667,0.42889885529022,150,150,0,650,1,649,5.09580032831949,5.20530437967859,10.3011047079981
107_6,omission,0.0276017394997355,766.666666666667,0.412117434501114,146,143,3,654,3,651,3.79468344068955,3.93300124297222,7.72768468366177
107_7,omission,0.0465298496938121,900,0.379988944446186,145,145,0,655,3,652,4.42035368328522,2.99653765723911,7.41689134052432
107_9,omission,0.315408896630602,966.666666666667,0.327912330481303,143,141,2,657,2,655,4.66316043387275,4.45403719968838,9.11719763356113
108_2,omission,0.280927739896851,800,0.468833026764724,139,104,35,661,7,654,0.200021504539174,2.5075997389242,2.70762124346337
108_3,omission,0.357708865000373,833.333333333333,0.363001478504857,146,133,13,654,21,633,3.34078613225183,3.30465853014232,6.64544466239414
109_1,omission,0.563158558188963,733.333333333333,0.289138302605923,142,140,2,658,3,655,5.03198017559171,4.12731336366874,9.15929353926045
109_2,omission,1.06914683499779,833.333333333333,0.224755673506378,144,144,0,656,0,656,4.93490051122473,4.17990025428572,9.11480076551046
109_3,omission,1.13802546105861,933.333333333333,0.219308624721674,138,138,0,662,2,660,5.21973258351898,5.64636107582963,10.8660936593486
109_4,omission,1.00377726853461,700,0.214916661853245,139,139,0,661,0,661,5.64112305172404,4.45055072386252,10.0916737755866
109_5,omission,1.21292288291984,800,0.226327407682159,150,150,0,650,1,649,5.2966031088558,5.43460944960994,10.7312125584657
109_6,omission,1.19705744598451,700,0.209979034366796,143,143,0,657,1,656,5.17926747318659,5.386362418704,10.5656298918906
109_7,omission,1.45791629340555,766.666666666667,0.22333767592274,143,142,1,657,2,655,1.62897372327388,5.64386366857386,7.27283739184773
109_8,omission,1.1046393436529,800,0.231632869809038,148,148,0,652,2,650,3.82138812707634,5.50137658782274,9.32276471489908
109_9,omission,0.848465181424347,866.666666666667,0.216847272621145,145,143,2,655,1,654,4.44301013769817,5.68965730254008,10.1326674402383
110_1,omission,0.882060444974226,733.333333333333,0.372452188640351,147,140,7,653,2,651,1.79760390413709,4.77769203218314,6.57529593632023
110_2,omission,0.782380647615863,566.666666666667,0.240219524103214,148,146,2,652,6,646,-0.00325425522250434,1.24284469463,1.23959043940749
110_4,omission,0.533424588103728,666.666666666667,0.214768402766565,149,145,4,651,6,645,0.374007050367352,-1.01358568472326,-0.639578634355909
110_5,omission,0.800550938778551,566.666666666667,0.251352312420042,147,144,3,653,10,643,1.51244950652511,2.25002634624824,3.76247585277335
110_6,omission,0.726774076786515,600,0.237202501251635,147,145,2,653,8,645,-1.31792953723661,2.39490480908282,1.07697527184621
110_7,omission,0.949048046325977,766.666666666667,0.247204415763411,140,133,7,660,13,647,0.586784590635959,-0.985838111897731,-0.399053521261772
110_9,omission,0.808280947921229,800,0.227770563251346,143,141,2,657,10,647,4.123097298749,3.09802705623404,7.22112435498304
111_1,omission,0.446968804771512,1066.66666666667,0.565646631029301,144,108,36,656,3,653,2.95229509769814,4.23112652183502,7.18342161953316
111_2,omission,0.218014174384854,3033.33333333333,0.456512829182382,148,114,34,652,5,647,0.918926403220959,2.14233807578566,3.06126447900662
