sub001.m,sub002.m,sub003.m,sub005.m,sub008.m,sub009.m,sub010.m,sub011.m,sub012.m,sub013.m,sub014.m,sub015.m,sub016.m,sub017.m,sub018.m,sub021.m,sub022.m,sub023.m,sub027.m,sub028.m,sub029.m,sub030.m,sub031.m,sub032.m,sub034.m,sub036.m,sub037.m,sub038.m,sub039.m,sub053.m,sub054.m,sub055.m,sub056.m,sub057.m,sub058.m,sub059.m,sub060.m,sub061.m,sub063.m,sub064.m,sub065.m,sub067.m,sub068.m,sub069.m,sub070.m,sub071.m,sub072.m,sub073.m,sub075.m,sub077.m,sub078.m,sub079.m,sub080.m,sub081.m,sub082.m,sub083.m,sub084.m,sub086.m,sub087.m,sub088.m,sub089.m,sub090.m,sub092.m,sub093.m,sub094.m,sub095.m,sub096.m,sub097.m,sub100.m,sub101.m,sub102.m,sub106.m
-0.297409788066389,0.0153042971202907,0.0479994583393751,-0.143277244906229,0.059150033738847,-0.0911721583892464,0.0290852513380067,0.0282204548349901,-0.0847634479623687,0.316649560333048,-0.00463030775774322,-0.0755619672210737,-0.0632661777064299,-0.1067099161092,-0.036897059726612,-0.067863515150464,-0.0252875271207765,-0.166252793110789,-0.129893866855518,0.0103229653075359,-0.129270683099472,-0.0165878893110821,0.105575515473299,-0.142511192910427,0.32271982970741,0.0851505209124966,-0.0967383144842592,-0.0885750967187783,-0.0688366341059681,0.120190322940984,0.00758019050265556,0.00284625502580396,-0.0749025852154319,-0.0713180795953022,0.0905686691672937,-0.17071589227109,0.135864655508184,0.029667790545603,0.0106449966380891,-0.0357150169890388,-0.00509303299985025,-0.129009302756966,-0.0182213510062694,0.0573340290709719,-0.0200546105708439,0.0443863246947092,0.0121915191993515,-0.0332539365159379,-0.033234693291645,1.69128335917853e-05,0.00408497976135146,-0.179806897421731,0.211626423901474,-0.0331328296610998,0.0125842098644458,0.232381264753476,0.00285484518206224,-0.139949646659582,-0.233391387218237,0.0808990847047341,0.139150815010551,-0.169502986708151,0.0724137633182166,0.295140511976949,0.0461971435384958,-0.100533469508473,0.141772091532527,0.0966145647899668,-0.349342205959419,0.034834610417729,0.113813403071525,-0.0471246777271937
-0.281275708992643,0.111046679899447,0.0488285991966201,-0.132329748115785,0.0228393582320076,-0.0415559203524807,0.0311875790268133,-0.00137092306018592,-0.114950674339309,0.26082628218264,-0.00198617630375645,-0.109183714711229,-0.0829710872949943,-0.115440700748186,-0.0131248502487569,-0.182392293661565,0.00151610449474064,-0.16675874670189,-0.133905376607382,0.00350658629891925,-0.123206939498284,-0.0136230865058289,-0.0600748039164175,-0.1390151754544,0.221238782210424,0.0701746056171597,-0.0808468863710007,-0.0920306203310919,-0.0712813179575565,0.131369296124556,0.0254539520118787,-0.0397425741289901,-0.0382536059575557,-0.0857631546910772,0.0901829146810682,-0.166754342780222,0.129670457795983,0.0375682835081835,-0.0140357152670811,-0.077720566845677,-0.015849837528261,-0.129752777038641,-0.00780725453753771,0.0411893796372452,-0.036942125489383,0.0518113186837452,0.0274349048792542,-0.0175116720947661,-0.0341101024900743,0.00144940530532865,0.0111679621249582,-0.151256957215715,0.202525548929702,-0.0574818972886257,-0.00269679009879844,0.234907174665378,0.0207741611552677,-0.121273465237089,-0.230017829358453,0.0713621007316955,0.120749006906938,-0.169959223817597,0.0951444186020095,0.275079463518439,0.0511266454734319,-0.147047087097935,0.134496608974849,0.064103031812352,-0.365286226236485,0.0410372153104033,0.159418140769948,-0.0462802326915362
-0.256845279643088,0.135778358368127,0.0347173669228317,-0.119039548856292,-0.0012258813772742,0.0483156982942006,0.042034345858936,-0.0210691823704065,-0.128289445308771,0.180802615358407,-0.0106668576955349,-0.139549854851784,-0.0900420512229709,-0.116938730444579,-0.000776592589117871,-0.201440638102718,0.0210528102077081,-0.166510774853487,-0.122380645001085,0.000468912364889968,-0.0964889114382959,-0.0128365833512062,-0.130095463742744,-0.131675530965631,0.135023130092781,0.053009739918511,-0.0707327972301724,-0.100080149550527,-0.0563394775732156,0.147371914213176,0.0384802131453082,-0.0688008130897728,-0.000783740182014319,-0.0933955090109442,0.0847651440587915,-0.113723368546089,0.119639622086735,0.0418224239653666,-0.0267476371541498,-0.143015288309808,-0.0472217455783784,-0.132625801861904,-0.0035639646929927,0.0253407352824862,-0.0373874826495863,0.0478250192381347,0.0294132471869636,0.00013536543269824,-0.0352236642471498,0.023554837056525,0.00955194403328945,-0.0996348937751427,0.192406853931711,-0.0372423204683583,-0.0204189861638778,0.218998535475002,0.0294581825345963,-0.0967327012098306,-0.21985855611553,0.0558524122482136,0.103454896583674,-0.177731133504373,0.0976017332870719,0.250044739929557,0.056506255333264,-0.148481569827698,0.126201418570952,0.0496110439861795,-0.327261432898047,0.0456477227842459,0.121448975808622,-0.0309835951753044
-0.233842253715061,0.0826393125627478,0.0138004352181181,-0.104274989984948,-0.0040009065944512,0.101226826251589,0.0528287805017027,0.00271466140191992,-0.123606958218927,0.1063397796103,-0.02576534825274,-0.151427799889268,-0.0824374560750975,-0.104286884350379,-0.0101858047834826,-0.146963842014634,0.0242989880121372,-0.158372431165846,-0.0955393257543809,-0.00087483076907238,-0.0586748007566756,-0.0134151241459288,-0.115789954400617,-0.121823695118781,0.130629418757947,0.0333919252216343,-0.0673051996289536,-0.106437429306229,-0.0265746768158074,0.173090539321887,0.0460939314231634,-0.0856762417902072,0.0270389798285993,-0.0873797592219113,0.0643723364079471,-0.0323692490783662,0.106499350829591,0.032211362270253,-0.0250793814280803,-0.1466379429329,-0.0669114788594596,-0.128324020579941,-0.00129751524134964,0.0205335037691238,-0.0290210313465288,0.0289052937058208,0.0233687495712898,0.00639018956255539,-0.0459072624491728,0.0515378125558096,0.00546929839750605,-0.0572990805734576,0.180414349101133,-0.0519782018494973,-0.037050307323316,0.175891746891658,0.0320111738164373,-0.0674743594329236,-0.198324346250231,0.040068954839801,0.0859510042783505,-0.193084630190297,0.0831518822175699,0.212410456038316,0.0598350651086655,-0.123255636650846,0.114137887597872,0.0520198315359159,-0.296211300354386,0.0512089846530513,0.0580128695514184,-0.00603905667870852
-0.210756015598565,0.0210513174774041,-6.86444136423556e-05,-0.0828847989248449,0.0148815696441103,0.0842165645648344,0.0543546297547836,0.0512217286490684,-0.122234477119151,0.0822643712255851,-0.0377434448971515,-0.143156461674556,-0.0579014469494085,-0.0743939016901757,-0.0299617731050775,-0.0968832647212866,0.0147244456152872,-0.141937415698075,-0.0628617187860843,-0.000311047950290803,-0.0234451069075189,-0.0117549527449593,-0.0319876553005594,-0.112127154433983,0.160364967603843,0.0124659738802823,-0.0623549189993025,-0.0977245531399248,0.00510485479374117,0.205509056804707,0.0521473887233937,-0.0963772988702658,0.0281316146965921,-0.0689417837398974,0.0319832162699056,-0.00527932440351819,0.0974546310094269,0.0172969392535684,-0.0218444579928499,-0.118022533171508,-0.0603545634930235,-0.105666102441294,0.00346851587327557,0.0221631217034877,-0.0201857737063996,0.00228270388243053,0.0167861496452092,-0.00373124311118643,-0.0644214917269482,0.0603853211328519,-0.000150069631322071,-0.0432868615928758,0.157036845536699,-0.042808395991088,-0.0483289208409074,0.120766712322977,0.041149340981582,-0.0391508556941382,-0.178452311058684,0.0306651073866654,0.0617035397514185,-0.19621793743909,0.0517743485909059,0.158854255271427,0.060401493039009,-0.117271503365121,0.0971932371627287,0.0682510545389168,-0.276784656623975,0.0593336433190489,0.0228735430812545,0.00561481644479447
-0.188935926633207,-0.00621045406244653,-0.00279914899851575,-0.0533782479519485,0.0395702937408469,0.0304365276022637,0.0316892597762786,0.102502597411025,-0.117699407723121,0.0811798835808929,-0.0357392981733172,-0.121294090751487,-0.0226780590392966,-0.0380805843260318,-0.0499358344455098,-0.089082330392772,0.0188602082519841,-0.119097200317202,-0.0343872732993346,0.00319183422123046,-0.00262709252848035,-0.00712556433043128,0.0228886161466604,-0.10365011793199,0.167812077962961,0.00274369420492968,-0.0543756133595728,-0.0740431236969202,0.0311977638454497,0.22829341402558,0.0613706017190839,-0.10531829931287,0.0147484344442502,-0.0473242602495601,0.00191945176364697,-0.0346740656518703,0.0900837529745312,0.00118229425379821,-0.022377313091584,-0.103933360738908,-0.0352092270112213,-0.0653236419576539,0.0103131337317361,0.0220894149834962,-0.02601003357955,-0.0189479798143006,0.01469727142307,-0.0341513477227767,-0.0854537849228544,0.0528539223464632,0.000806381346233978,-0.046030012761838,0.12295401381245,-0.0374557209851503,-0.0555305483151319,0.0742427153221259,0.0536686304732196,-0.0149606725883006,-0.16766668027126,0.0355594314351687,0.0286479017178801,-0.171632061415207,0.0198662488883447,0.102086258999162,0.0585072362641796,-0.0997835898126195,0.078011399984403,0.0802351495766966,-0.260745398349158,0.0720416891326833,0.0186160740679733,0.00331283273115036
-0.164544527882082,0.00570559892452419,0.00202524101230097,-0.0159928338003114,0.0561660120981668,-0.00990086265191744,-0.00981338095931323,0.132569164530752,-0.096693164513616,0.084975635138342,-0.0285110051663756,-0.0981984945817525,0.0104625965257105,-0.00986097650584332,-0.0592983878911517,-0.107058837683532,0.0180095688341749,-0.103401139256897,-0.0137617291022262,0.0055652132013086,-0.0110849591978197,-0.00444120225199292,0.0387684653249028,-0.0904964900604807,0.125601104057414,0.0194767339319787,-0.0441350397763864,-0.0476039243508772,0.051442333354391,0.227206669423519,0.0758090824268565,-0.112301644599353,0.0128344605961994,-0.0273288015660418,-0.0161059029288942,-0.079696770115533,0.081947091258169,-0.00871766523545019,-0.0247897373493281,-0.118656965728281,-0.0020353149028471,-0.0155183113528695,0.0126329673262262,0.015989960368249,-0.0422677882424431,-0.02577884177104,0.0212190218394249,-0.0623287796937455,-0.0992271844552956,0.0433294358045945,0.00990357528151187,-0.0341154690949785,0.08278459782333,-0.0267218519919237,-0.058266372418997,0.0363073290299118,0.0682728244562603,0.00301713905047703,-0.168256875392295,0.0495439059693133,-0.00975873543658031,-0.122778678876848,0.00379063068258728,0.0530875366653979,0.0573358046362402,-0.066333295522461,0.0646982643186085,0.082917908574567,-0.256550449889287,0.0872955505102467,0.0227438856488318,-0.00535768351398967
-0.138363972356289,0.0256027023254603,0.00717253020684748,0.0235333893548829,0.0500415214264392,-0.00731180742018016,-0.0575443152306161,0.144680414941178,-0.0503548530814285,0.0621720807019746,-0.0266814582097466,-0.084898060587793,0.0343571639519612,-0.00561914989867029,-0.0559565920214318,-0.115664247462302,-0.0105463027377461,-0.0969118744403392,-0.000123414247222126,0.00379980353281241,-0.0314991779470905,-0.00851895034986459,0.0118047353238948,-0.071861413071404,0.0531371483695356,0.0588751631721262,-0.0333133973954334,-0.0258747549040283,0.071088038652719,0.210767076097531,0.091697426162744,-0.111066006137712,0.0249857085735369,-0.007557436513867,-0.0239131448876603,-0.0982224198973598,0.0713998559482473,-0.00590093193199706,-0.0202877635968461,-0.142847859141429,0.0206236677457541,0.0313957475078048,0.00810412170391157,0.00523800813475535,-0.0539192130238886,-0.019829352808335,0.0370021088491123,-0.0763218724533387,-0.0973751214235424,0.0476935152142818,0.0314690725497633,0.0041575523576488,0.0591674945058109,0.0772440846104881,-0.0495544811466578,0.0100810666616685,0.0769355342418869,0.0219890689326233,-0.16284019698787,0.0529977096387312,-0.0433363357289652,-0.0751533164010123,0.00291962918647847,0.0207014028561867,0.0584928605685825,-0.0108810003903623,0.0611283999339832,0.0797341256266522,-0.228430227061804,0.102537657640084,0.0157746170820312,0.00104085821256911
-0.107217519762613,0.0323617610662982,0.00748228883525217,0.0542699873350634,0.0290625833024278,0.0269974002829255,-0.03351691637743,0.145207641406364,0.00197825862783502,0.0222463003815619,-0.030981543867293,-0.0790802608116888,0.0492226715397746,-0.0215017808521078,-0.0406297134487868,-0.0937263740312614,-0.0490570703900648,-0.0993256659377122,0.0135937938553358,0.000140779970391806,-0.0462732559756355,-0.0120058092842557,-0.0136636542932003,-0.0511894293921911,-0.0125011090628544,0.103694107794747,-0.0185910582502189,-0.0138389796260236,0.0905909365229258,0.248459278427443,0.106836161875066,-0.0983014920766576,0.0395424973294455,0.0118009404769256,-0.0336072194731157,-0.0838502146132314,0.0592619104542569,0.00607391168191965,-0.00979501786766438,-0.154849872836936,0.0334883379294345,0.0648861046983671,-0.00470588359478633,0.00162207523105097,-0.0538453293540141,-0.00756560527081555,0.0554179793745195,-0.0820562760287703,-0.0803250885520821,0.0619561305775729,0.063214211063195,0.0627500635889686,0.0619192317101267,0.0840028514056644,-0.0279142453099755,-0.0204893969819429,0.0754105740390534,0.0446218357358858,-0.136985830304113,0.0352239234965032,-0.058653897307997,-0.0457239474489966,0.0102608482791554,0.0048353347835364,0.0626967543016048,0.0334723164956254,0.0720876714149968,0.081009503105695,-0.191951031353268,0.115272297891657,0.00309170626575339,0.0207802583010657
-0.0796255969162669,0.0258578079126735,0.00418789541259697,0.0707897228085209,0.00235799991408433,0.0616600203982398,-0.0211541470071452,0.140212738406351,0.0233968331331021,-0.0217409693974762,-0.039448745815915,-0.076378839200334,0.0552741456963363,0.0140520702005998,-0.0152074690187777,-0.0502011979274401,-0.0596770919131929,-0.0988543209282801,0.0307038701404298,0.00295638651090315,-0.0306111283851389,-0.00877586067547611,-0.017925134664928,-0.0309238710867285,-0.0469699773268096,0.118899761774439,0.00226790429983371,-0.00924586214888515,0.110208434422396,0.190013976919863,0.116835074654853,-0.07494367192009,0.0465437584531003,0.0353522693018749,-0.046749886449784,-0.0504407108847471,0.0486288506581201,0.0138393626011876,0.00206264287378168,-0.139011603311642,0.0401003536573177,0.0846472347559266,-0.0247549780860894,0.00801977503824118,-0.0398116824641509,0.00353853439292245,0.079500013686076,-0.0879317333061921,-0.0606682737673497,0.0777576979940522,0.098948527576099,0.128418600523855,0.0886838008171258,0.00431151451713395,0.0033231008758942,-0.0522617739999281,0.0676426602346263,0.0711281293997853,-0.0915752586372413,-0.00625642351537436,-0.0567446417575672,-0.0372083913283448,0.0158899214134791,0.00553962950605952,0.0624252571626585,0.0501159559066165,0.0864513299610382,0.094842415355501,-0.151657198653763,0.125111598500869,-0.00781664028695439,0.0386849287933603
-0.0519921378229741,0.0195490096793586,-0.00377498898205877,0.0761664134552636,-0.0216326326373129,0.0791111085306093,-0.0110640772928567,0.131122739166127,0.00132008787073036,-0.0518692674698635,-0.0482964343767819,-0.0714591765667679,0.0562328663422543,-0.035550224273139,0.0107748556225001,-0.00556146671998336,-0.0503733497923222,-0.0817970262461886,0.043349646620626,0.0139858153248781,0.00929116617264434,0.00262686856639029,0.00461854545484726,-0.0124791074742417,-0.0590485277535454,0.0932005194263696,0.0223792328173465,-0.00814859806031538,0.12372472906025,0.19055240724926,0.122158835184837,-0.0464498957387936,0.0433092620779586,0.0562527847772542,-0.061983335537076,-0.0252283540381425,0.0385753137282425,0.0126593853224829,0.00692492340686329,-0.10353301552875,0.048142422640072,0.0861229566824012,-0.041130832018864,0.026495965725525,-0.0341144063882226,0.00672424866374133,0.103636919773123,-0.0917001555595824,-0.0517692548345853,0.0873666016452876,0.129616619947051,0.18013674836075,0.124163014160023,0.0340556480342041,0.0327552543520065,-0.0804611993173859,0.0536010177340158,0.0965956968518025,-0.0415380010798136,-0.0532025322087777,-0.0580142716675107,-0.043896316459704,0.0207265057903893,0.0160586598005517,0.0567169023383532,0.0521957063008422,0.0949137726041355,0.118577787939968,-0.114460790725994,0.129523406873236,-0.00648285302581499,0.0389356964366563
-0.0234306642610654,0.0182318649561225,-0.00979777935574082,0.0779435121465924,-0.0403524442106659,0.0676312845070951,-0.0220231846510723,0.118211482048188,-0.0451211619712654,-0.0651332900457334,-0.0409801769707244,-0.0672082969025966,0.058612078146104,-0.0185993774538431,0.0322353315821308,0.0283146053804938,-0.043653855267138,-0.0413372961139923,0.0466863306624464,0.033725671953794,0.0533078212427498,0.0118105454974286,0.0374846849198433,-0.000438859466897248,-0.0560604626295079,0.0426566961169356,0.0311650146135468,-0.0148399238341343,0.129535684955676,0.177741751916633,0.121454417419893,-0.0202751709319283,0.0427217566450743,0.071969873116083,-0.0772296107606157,-0.0208857210391575,0.0252079520783406,0.00531451814635787,0.00737979659239496,-0.066717088500644,0.058943939677547,0.0752072162564568,-0.0427647688451807,0.0457330955056632,-0.0301658491238821,0.00133449100813981,0.120716813138451,-0.0835472025604559,-0.0569034101740117,0.0920453642645009,0.147491165092045,0.207015555079794,0.149285066527693,0.0458600252888184,0.0511882457668758,-0.099037029072073,0.0372395519026289,0.114072901422866,0.0028575590129954,-0.0922930376850008,-0.0634661680373174,-0.0401532628391799,0.0233548677246527,0.0271192178460893,0.0401548398346428,0.057387055837343,0.0856056146605113,0.142117461143735,-0.0839863471655389,0.12484719814677,-0.00379086336027337,0.0238462013505305
0.00268047837968863,0.0161349665797926,-0.00507433519292121,0.0796442376013772,-0.0562610512906526,0.0435626461564527,0.0614772108806636,0.101450274684245,-0.0804923415664126,-0.069614035955111,-0.00636937265435934,-0.0659986269321596,0.0624336859036103,0.00223759673962539,0.0415323855304821,0.0451811939134977,-0.0413987040606961,0.00647434645151626,0.0454474385093948,0.0575291473361067,0.0746719357825509,0.0131555009845982,0.0650977802290013,0.00778442298084585,-0.054140116733039,-0.00185964779553613,0.0232264297749283,-0.0219048678725344,0.128134182411921,0.143380237820986,0.116511671911497,-0.000454309486440869,0.0530517780470975,0.0784755396699702,-0.0858132186133156,-0.0336074792885787,0.00560813094744565,0.00308990779584885,0.00204696313505228,-0.0363949731363703,0.0681242470632243,0.0623297875990214,-0.0333998714977798,0.0643253815279259,-0.0354698048391951,-0.0102644064510665,0.126854158366921,-0.052453218533887,-0.0592048291222911,0.0921644266408634,0.152024094399048,0.211305316065108,0.144112187447632,0.0475402801382032,0.0560005698479662,-0.103409729419753,0.0177903703164981,0.120581801629679,0.0360189280193364,-0.108611388432671,-0.068221827577079,-0.0198307123604763,0.0270151112465589,0.0324232474250349,0.0164708547677609,0.0791036566870867,0.0582749909939753,0.149337579018421,-0.0595476146609629,0.114351565902902,-0.0031102973919166,0.00187390801883622
0.0266574381111254,0.00380064492789083,0.0112198822984286,0.0830228602304623,-0.0705923030600325,0.0222459201460271,0.0511399677467552,0.0817724608829633,-0.0906579306996391,-0.0774951674221637,0.0426586533124378,-0.0655339372913023,0.0663374912478296,0.0183980583346746,0.041903352626722,0.0482988469905814,-0.0251629576275115,0.0414487346347145,0.0488332821320556,0.0758660534895853,0.072953991025859,0.0112081577208063,0.0773813961800722,0.0118258270737645,-0.0597026039242911,-0.020098353306536,0.00538313027263218,-0.0236078313222322,0.12119985546408,0.0902524405094748,0.105469593194788,0.0128940757774359,0.0721374078467203,0.0816322622585806,-0.0904562292863581,-0.0405100717702265,-0.0189683966468936,0.0105892402757445,-0.00133765740497024,-0.00667617612620948,0.0711353278662284,0.0601824035206045,-0.0268416431261062,0.080211051667111,-0.041013616579118,-0.023064973319668,0.119476773729798,-0.0145804286915372,-0.0524940563092139,0.0740713766193796,0.13815830951536,0.209503548352158,0.105174579976558,0.0437180475361741,0.0581489267863169,-0.101056260945624,-0.000146032948533149,0.1135907837297,0.0618829773723725,-0.101665205561612,-0.0708565306842287,0.0144534302110728,0.0288780786693742,0.0255459292877869,-0.0082691649220517,0.108734681127788,0.0287162327662774,0.130156325860906,-0.0313002276195227,0.103359646490906,-0.00994534128751841,-0.0167157257684674
0.0483940069317295,-0.0148075107016994,0.0335803415246511,0.0825801357233674,-0.0816329845820441,0.0186334676748763,0.0239526513409579,0.0596340732552197,-0.0658081611770072,-0.0875385131844977,0.0770956385709161,-0.0519989739734838,0.069267772862217,0.0242124704215566,0.0368935585341617,0.0509197548062855,-0.0235655258092194,0.0606566940043222,0.0626794437974418,0.0791268332387474,0.060344381705859,0.0107090386869872,0.0783027860753064,0.0168684086167901,-0.0725608253523799,-0.00681030314049292,-0.00894111483814375,-0.0167811411199236,0.11056377336475,0.0325800428491212,0.0851591695969448,0.0172487028853227,0.0896675852551607,0.0801397931434791,-0.0934340540206207,-0.0298779605800229,-0.0445316312355747,0.0209999763529015,-0.000628189876882062,0.025423413250331,0.0702077097589407,0.0695763560496874,-0.0363516820134524,0.0853126649948523,-0.0402292213491529,-0.0338192094388698,0.097472765651351,0.00443229707755526,-0.0282084382409515,0.0402397290583266,0.106152762318642,0.205506052879114,0.0345393799030849,0.0243046289073418,0.0675058257169641,-0.10057842284985,-0.0141383012225241,0.0921034151300038,0.0831680658632558,-0.0819025332472891,-0.0652301165724012,0.0498522102047285,0.0300383678626291,0.00537295607695671,-0.0250528841181717,0.130872579994782,0.00635932509288356,0.0874606496619063,0.00979413792690932,0.0917301437953856,-0.0205475725097301,-0.0285607233828311
