,subid,psize,dtw,story
0,1.0,-0.5784704581520348,51.24463390538415,03
1,1.0,-0.18443586283999738,26.50847615295624,03
2,1.0,0.2210888229406074,8.8148009733122,03
3,1.0,0.20207662792021758,7.075296797204754,03
4,1.0,0.4861652426362011,23.31184865814899,03
5,1.0,0.24314216332843647,10.880980427754904,03
6,1.0,0.042081689723949656,3.671031541384191,03
7,1.0,0.08842425465132386,20.938276064009628,03
8,1.0,0.14057256595420398,10.317507667164161,03
9,1.0,-0.13718622085481616,37.74387399603254,03
10,1.0,-0.13944736108434114,23.742086124685244,03
11,1.0,-0.12216804026598209,9.33517487114705,03
12,1.0,-0.16317171315156193,7.664632817469107,03
13,1.0,-0.15937445423847751,3.6217873761910524,03
14,1.0,-0.261125396052609,21.574889323548845,03
15,1.0,-0.13240344020788158,26.45652138318675,03
16,1.0,-0.008107446451915839,10.930917775086783,03
17,1.0,0.25324185055172505,9.411048862987567,03
18,1.0,0.5837116514707836,45.796170627933364,03
19,1.0,0.4643447195831356,35.76185954174972,03
20,1.0,0.022660645696664324,22.46891904395374,03
21,1.0,-0.18063398416108184,12.770577944837626,03
22,1.0,-0.3011401810973484,16.47492083993788,03
23,1.0,-0.34864675642981563,24.034578884935488,03
24,1.0,-0.1648167576865841,14.055336219782326,03
25,1.0,0.11698192996324887,28.119564148237515,03
26,1.0,0.10926631067122274,12.353877977659298,03
27,3.0,0.24071545452088206,23.307552735828914,03
28,3.0,0.1698394690042177,11.670046368878337,03
29,3.0,0.24645943949089288,13.122182657026814,03
30,3.0,0.5438749501511144,34.19083344425721,03
31,3.0,0.2726819378911679,16.317062861172943,03
32,3.0,-0.1215541287065515,15.066321029353396,03
33,3.0,-0.3016144217652698,35.89564701514429,03
34,3.0,-0.3628716695854912,44.75266495998224,03
35,3.0,-0.4338270353987592,39.92250413252621,03
36,3.0,-0.38144101110903006,44.14022133946272,03
37,3.0,-0.1959584171978498,31.06343112686931,03
38,3.0,-0.19612804097121556,15.374407128100122,03
39,3.0,-0.23597993731022726,14.457681545789182,03
40,3.0,-0.2182563565635837,14.979000186082677,03
41,3.0,0.013151891791868826,9.51988754854192,03
42,3.0,0.018292685655357622,11.794134610575608,03
43,3.0,0.04591326811180245,11.099862058741737,03
44,3.0,0.0403307947287621,9.046987521555241,03
45,3.0,0.026287953951211813,8.92400846459142,03
46,3.0,0.21350251777972395,20.021372220810182,03
47,3.0,0.23034813592164588,18.30776505221128,03
48,3.0,0.14870142583052656,20.708558379249073,03
49,3.0,0.1857880653290853,20.608729701489715,03
50,3.0,-0.13241349583568027,16.300791207498285,03
51,3.0,-0.18806673736508417,17.408727326079607,03
52,3.0,0.20693523745781087,39.14879290184473,03
53,3.0,0.09790080073172913,23.992848578120643,03
54,5.0,0.15233291668795473,12.676849362780144,03
55,5.0,0.2161083574385616,10.99582319844223,03
56,5.0,0.2780947486922486,15.856977386764594,03
57,5.0,0.07910724125081307,16.082916162225175,03
58,5.0,0.023263596908610216,21.111671805168584,03
59,5.0,-0.07611027313161942,18.88731716804495,03
60,5.0,-0.2642934337251681,30.688376238020425,03
61,5.0,-0.08896728295395352,26.06830232281949,03
62,5.0,-0.02007956711176205,8.892081136047894,03
63,5.0,-0.10975621970271263,21.119551852574546,03
64,5.0,-0.0963542582825409,25.32177365666012,03
65,5.0,-0.1832036222739334,13.451179350568902,03
66,5.0,-0.16954964701477668,13.46271432584067,03
67,5.0,-0.26854275234493574,9.043171823124887,03
68,5.0,-0.15231747067634563,7.024472096636837,03
69,5.0,-0.059996057385356225,15.818637502747258,03
70,5.0,-0.06626706354603273,16.163964451888727,03
71,5.0,0.14559198489726405,8.088207830367509,03
72,5.0,0.15542744168017444,14.317945190589025,03
73,5.0,0.12909923946472227,20.476386976286754,03
74,5.0,0.17631349265318982,19.530792531516397,03
75,5.0,0.03639532911028415,13.051094122444024,03
76,5.0,0.05864938297329274,10.106850348448598,03
77,5.0,0.07193288253554049,12.249396934616453,03
78,5.0,0.09564758190193166,7.784214970500068,03
79,5.0,0.13877638988719107,34.426357103992984,03
80,5.0,-0.20594299363804985,36.28525157595283,03
81,8.0,-0.0023362602276363036,12.498197263070233,03
82,8.0,-0.07915209970308612,15.476837611855192,03
