sub001,sub002,sub003,sub005,sub008,sub009,sub010,sub011,sub012,sub013,sub014,sub015,sub016,sub017,sub018,sub021,sub022,sub023,sub027,sub028,sub029,sub030,sub031,sub032,sub034,sub036,sub037,sub038,sub039,sub053,sub054,sub055,sub056,sub057,sub058,sub059,sub060,sub061,sub063,sub064,sub065,sub067,sub068,sub069,sub070,sub071,sub072,sub073,sub075,sub077,sub078,sub079,sub080,sub081,sub082,sub083,sub084,sub086,sub087,sub088,sub089,sub090,sub092,sub093,sub094,sub095,sub096,sub097,sub100,sub101,sub102,sub106
-0.237946301309395,-0.0615085183052152,-0.117440938073917,-0.1437573070418,-0.00118776930996427,-0.0190695517630551,-0.0468809853997709,-0.0327385002414444,0.0322370340841861,0.0728271063935015,0.0293614351552842,-0.075743450283989,-0.163942125826308,-0.101532512797884,-0.0158017353679439,-0.0603200015759109,-0.0158279245682712,-0.161814540035654,0.0100707001688284,-0.000105097176226274,0.0841130517231066,0.0129514031147716,-0.107029737696617,-0.0343215047711124,0.0570449712881074,0.00121953913583372,0.00689056878935156,-0.00814690637736757,-0.0977253614785899,-0.0436555435461231,-0.000705878576570671,-0.0844418851703881,-0.114686719443698,-0.0558857913939751,0.214759370780121,-0.0625343673814034,0.0282522699161934,0.105169193762372,-0.0156214609271455,0.0432833598091188,-0.123373806033175,-0.00960533636134451,0.0383364152631096,-0.0278852413820278,-0.0882097450914993,0.041398672408537,-0.0220549835525265,-0.0981599579285983,-0.0426070212801525,-0.00112947887586563,-0.117724537223933,-0.0728064476808642,-0.022171704704439,0.0055382815387398,-0.116326700303912,0.0812860669765266,0.0542858757707363,0.0165577280306126,-0.117462423187507,0.0738045158768286,0.0240970526883651,-0.0721996799888628,-0.0442526465111861,-0.0476410759060764,-0.0826140628135833,-0.0662642423337204,0.0192967649281627,0.0364509977933247,-0.123613066129999,-0.119634390112464,-0.0532264537564762,-0.0613380984490603
-0.266022858805166,-0.0594198907437247,-0.116573978421943,-0.131103546116922,0.0045671245470898,0.000874791611933203,-0.0732160024439732,-0.079687846583699,0.00429254387219861,0.054891269177629,0.0155620462266156,-0.0882475694938002,-0.17336064327117,-0.107264672494904,-0.0464719431308172,-0.0529805984603847,-0.0204416286244803,-0.188133650036041,0.00343688228106639,-0.00755462073025814,-0.000629827650457062,0.014275395172447,-0.130014070986576,-0.0305315305103006,0.0456391502288737,-0.0114661523716237,0.00324087203006551,-0.0128608208340115,-0.098408039683512,0.023656831928816,0.0105360169816192,-0.104576549335712,-0.104009770004852,-0.078169676507903,0.216353328751639,-0.0735224368512452,0.0430837090793798,0.10678806364332,-0.0492081304627347,-0.0315843526786096,-0.102896461726982,-0.0533096444249245,0.00504661240337232,-0.034993351867067,0.0124110558467549,0.0269280708100431,-0.0109161106450623,-0.109673130284334,-0.0640350033999427,-0.05923913470145,-0.119193949691467,-0.104474203438052,0.000109310198137998,-0.0196757574268241,-0.142937044865048,0.101775112622715,0.0271803841506074,0.015534700520107,-0.138034638557449,0.0641921444873441,-0.0152480927286742,-0.0867468547295237,-0.0290471365253191,-0.0423782471675474,-0.0850970119385341,-0.0537414714291013,-0.0135676171116435,0.00567798426768017,-0.13361850196296,-0.109831317402946,-0.0450545890215653,-0.086080206549764
-0.284806777033577,-0.0482872793184587,-0.113700749391595,-0.120236883514924,0.00134120384460371,0.0223146197413625,-0.0786167475622013,-0.112354139123193,-0.0225569155415045,0.0419269877518813,0.00134795225779909,-0.0966524374801818,-0.176224148002862,-0.120204702152503,-0.076349539227846,-0.0701551552658358,0.00465546503621542,-0.204121288958848,0.00275597850225373,0.000501664190903383,-0.00397807944128335,0.0156161513284692,-0.122920441640739,-0.0257568750682628,0.0372327419101891,-0.0242560522365188,-0.00180019409932397,-0.0114594156189852,-0.0985123399816094,0.0797597386739893,0.0210215605356519,-0.120677263025564,-0.0890076473407593,-0.0934288749259082,0.181940750312395,-0.0765157521790056,0.0529742160972542,0.102062677027939,-0.0811308202012091,-0.0675157607507653,-0.0974363955556207,-0.0767403457110402,-0.0216073705701002,-0.0471052222262734,0.063394853375204,0.00996762243208823,-0.00387082978720146,-0.123798778460913,-0.0798541120947761,-0.0946204713436908,-0.116780661921903,-0.100585184981889,0.0105288779626922,-0.011244356810246,-0.144535658086644,0.116121328043754,0.0132814094354836,0.0142956052988997,-0.149604664950888,0.0544356102629196,-0.00947595608544244,-0.103796343963655,-0.0209714551976392,-0.0392649625162644,-0.0786474196378873,-0.0368321188766278,-0.0343231706028001,-0.018054723988096,-0.138248385402087,-0.0938834070433754,-0.0538412630034614,-0.0931829680638488
-0.284539061220735,-0.0324268845514607,-0.105507092129566,-0.110496416590721,-0.00974763008021632,0.0314740535434321,-0.0900863671757108,-0.133520674098268,-0.0439178741416509,0.0383629644006585,-0.00664460009865291,-0.103112387182623,-0.168902979776775,-0.132937718403977,-0.099924766946107,-0.0936155455767967,0.0444841598386289,-0.211728575374874,0.00605847573490556,0.0153221626797532,0.0234428060680509,0.0178061964377417,-0.099831167114108,-0.0174284561340954,0.032682571979672,-0.0327534156439781,-0.00839197065115264,-0.00527276386286108,-0.0977191418252067,0.11363032476115,0.0300937264073753,-0.130505366654355,-0.0717935206273029,-0.101834735999456,0.128372695139029,-0.0720278534599461,0.04884133603967,0.0882783503634803,-0.107927073382279,-0.0612651563888878,-0.106420405559606,-0.0863409468685705,-0.0431941026494068,-0.0678700083181157,0.0474386969053089,-0.00940154034552674,-0.00782789500998221,-0.140688530171746,-0.087529792891819,-0.106374621590604,-0.110307323415915,-0.0770141691957459,0.0130026648371612,-0.0156635802074805,-0.125886714216899,0.122861168415978,0.0162924470610989,0.0145946723932567,-0.153285324892785,0.0410438482953262,0.021245167517652,-0.122498016283215,-0.0285002402121106,-0.0427408416990844,-0.06449263831312,-0.0196106420284859,-0.0344546067918671,-0.0331870040716896,-0.137268924581317,-0.0719554107504103,-0.0647698109530913,-0.0900701768756249
-0.27068612323599,-0.0328254051736659,-0.0930377392029422,-0.0863990505601823,-0.0141892042398545,0.0271987233126792,-0.0876996974473164,-0.123726003971342,-0.0567483459624342,0.0346172741590181,-0.0134918015969363,-0.108194437859533,-0.150075366994864,-0.135146376346327,-0.104272627871493,-0.111632484803999,0.0392081566093113,-0.21098501035852,0.0104614987033706,0.0243700711299594,0.0512533722501416,0.0198139424284539,-0.0800996267025081,-0.00916714497270137,0.0244620733714421,-0.0334853796152315,-0.0178114703363374,0.00239273786073165,-0.0820899349573214,0.121505905225002,0.0391275292703584,-0.133552931658114,-0.0605083653409486,-0.100848786971345,0.0762444225942629,-0.0739308981251996,0.0333311886954306,0.0718854687384736,-0.125129020363983,-0.0319189074129558,-0.113420768367206,-0.074753772063618,-0.0473257977188158,-0.0806550566912223,-0.0168131952701163,-0.0288431942730476,-0.0186805162327283,-0.153777887208048,-0.0850404579150444,-0.0965853618364391,-0.100816411201872,-0.0575295919985079,0.0185202584238934,-0.0161400063661376,-0.106780540007814,0.124347625077885,0.028275003064331,0.0166064323866123,-0.154500486893421,0.0220571702104308,0.0438093984161608,-0.133791124600226,-0.0380671779232801,-0.0503566685704641,-0.0438129795363521,-0.0095719626574832,-0.0160200872792815,-0.0402809070952908,-0.129522123060791,-0.0478657178839635,-0.0609531839967583,-0.0814768414729563
-0.253420781665814,-0.0482236046286381,-0.0787660836261246,-0.0519941490992643,-0.0213171735201277,0.0143223482290583,-0.0900479972752934,-0.0988115163994291,-0.0586532456668393,0.0241286552810556,-0.026405712306365,-0.109960172455124,-0.117847964577564,-0.12001999968231,-0.0988705621227985,-0.112510394557524,0.00196060900196666,-0.203018349845212,0.0131203648021604,0.0231248401845705,0.0495181669723524,0.0202331930508365,-0.0660194427404652,-0.00570987928878775,0.0117905725059804,-0.0264016681290176,-0.0265271478566649,0.00760538795535655,-0.0577360657420589,0.11572145996702,0.0495791254479333,-0.13098675097118,-0.0550064006856006,-0.0900040105163572,0.0424518953735001,-0.078018332096279,0.0182891538009768,0.0555020938702206,-0.128039961748045,-0.0150179518942145,-0.109164114943373,-0.0541434446884379,-0.0606965360802555,-0.0834297048529264,-0.0688100389645794,-0.046403356420647,-0.022041566534369,-0.154832618832639,-0.0758380003408232,-0.0890141743499196,-0.0836735342490671,-0.048544664776755,0.0308392018657967,-0.0015975776528951,-0.0934792880720652,0.124096501240427,0.0352248140415421,0.0215355937324169,-0.15556503395417,0.00331051673433698,0.0449319530388118,-0.133083936626214,-0.0381848615458582,-0.0564528340191505,-0.023222543665669,-0.00600613655512758,0.0032426551452897,-0.0433458093861121,-0.119096937698826,-0.0243452555616751,-0.042666095851137,-0.078232836126654
-0.240132532291042,-0.0706039972880206,-0.0651443438860913,-0.013118296427608,-0.0207000453827741,-0.00137612416722413,-0.0511536678197852,-0.0729959122259965,-0.0559652242526033,0.00759008331743767,-0.04186033087734,-0.108326526548109,-0.0779519604093783,-0.0931902596184347,-0.0882000435564675,-0.100742542259509,-0.000766619500084045,-0.188855228364474,0.013210100516133,0.0196161789380588,0.0369194510665941,0.0171084340307964,-0.0484696849544237,-0.00525647092124927,-0.00584278567927157,-0.0155431401055679,-0.0325367561859734,0.00730565767568278,-0.0304886544044844,0.108326228579444,0.0617461225138141,-0.125774849467483,-0.0527773503926877,-0.0721911397874153,0.0110716884211982,-0.0830080962226731,0.0103642865772375,0.0446085072803969,-0.121282781441061,-0.0213899496927785,-0.095011805018005,-0.0301888483636499,-0.0611127459471506,-0.0756282726274872,-0.0856003116655655,-0.058318346061544,-0.00142522680727604,-0.142593397516332,-0.0646967353206752,-0.0869798583142865,-0.0578054409260966,-0.045613095435237,0.04325103296993,-0.0286186873157756,-0.0790663250186309,0.116410860058751,0.0362571878924421,0.0298181962862177,-0.157457375438043,-0.00959171591030394,0.0331947138498084,-0.121592156598896,-0.0277754978413268,-0.0521663123468334,-0.00406165840303224,-0.00447188756314493,0.0112935993598215,-0.0419315041868713,-0.109304345515097,-0.00691875123206346,-0.0179863070295135,-0.0768088029014309
-0.220669270596238,-0.0834583677016022,-0.0504208339898334,0.0193628893875616,-0.0159629148070145,-0.0161551641367838,-0.0561627657930404,-0.05381478871635,-0.052757724775665,-0.00664062012341178,-0.0527467056984991,-0.104717387640822,-0.03525667712328,-0.0633607125780346,-0.0801475286564544,-0.0833825857939655,0.0149179825183316,-0.172088028632329,0.010437086337409,0.0192780115320822,0.0294842332223582,0.0113882915388175,-0.0241552039140279,-0.0069142264410275,-0.0172600737123777,-0.00418821051089592,-0.0328675716769651,0.00423695541527091,-0.00947840505884735,0.102223192249968,0.0741188414250938,-0.120680216296401,-0.049226795318676,-0.0526538184890703,-0.021948260968697,-0.082568539460929,0.00992670272512071,0.0385850286744758,-0.108762943391294,-0.0426559303092546,-0.0781672993779068,-0.00669552874854836,-0.0622899601847352,-0.0644459782521937,-0.0682628896638744,-0.0665261534206278,0.0321977053548237,-0.122817059451681,-0.0546916054785599,-0.0885949208179725,-0.0263519347574072,-0.0379614779774688,0.048494466118156,-0.0238443857925364,-0.0555779622674819,0.0989244594295811,0.0275836733122701,0.0410119776066517,-0.155092548423117,-0.0149301081332904,0.0232348405967822,-0.100015941748258,-0.0163541352409905,-0.044070198743194,0.00988365081968685,0.00757534671922391,0.0090203914063998,-0.0385037751630027,-0.0988582385831845,0.00564620724919065,0.00249743399086356,-0.0752512672267062
-0.197390969474381,-0.0769557227009235,-0.0350959142091704,0.0430744636761572,-0.0136676294413335,-0.0215464176709106,-0.0445232116195058,-0.0368109034952757,-0.0547229168146591,-0.0129036825003333,-0.0552491919866974,-0.0997060062372922,0.00247949379440068,-0.0411937382587909,-0.0725318387861971,-0.0704105964879157,0.00576719570483698,-0.152044509968303,0.00767427956440118,0.025383661047913,0.0412294501166034,0.00426747470182822,-0.000374521054520289,-0.0063601111953435,-0.0210994201564799,0.00497102380833701,-0.0287739971297178,0.00266663224046126,0.0075023761762875,0.097550327768822,0.0846925380497125,-0.114058579616675,-0.0418099291472708,-0.0358948262847039,-0.0543181396129265,-0.0764594093200325,0.0103094029113424,0.0372919937258848,-0.0945682806574124,-0.0532165210628915,-0.0610299888030242,0.0160371125639201,-0.0676450275501761,-0.0535991246105609,-0.0428097094149128,-0.0707661177256291,0.0656215908906751,-0.10154665503912,-0.045216222576854,-0.08398598056844,0.00465632773725033,-0.021392954023607,0.0435783906433896,-0.0412724197334785,-0.0229500176444218,0.0701396744690248,0.0133896214345288,0.0537051472550152,-0.141475543365397,-0.0179461168368889,0.0226560702052892,-0.0715358207548075,-0.00950115201003393,-0.0337124209018087,0.0193936442088967,0.0235743423487803,0.00532673491586356,-0.030815122152778,-0.085950405409236,0.0155046846190622,0.0115866309242305,-0.0555553012855282
-0.167330704745872,-0.0518610008585337,-0.0204564658295089,0.0578746978623042,-0.0176992804273718,-0.0146943034958441,-0.0283622728437634,-0.0183035820767822,-0.0648807886773111,-0.0118336717730709,-0.0527091776634197,-0.0958434026768218,0.0273599449570969,-0.0278765331769656,-0.0612720623728548,-0.0609197734835789,-0.0066873323138074,-0.129602947022594,0.00958241639420014,0.0347764928873446,0.0564610470437313,0.000762987125877979,0.0127823086997166,-0.00404987644590074,-0.0208989174879699,0.0100184905939935,-0.0210393857465561,0.00384165169281325,0.0233088172505565,0.0922284060677071,0.0924731890840173,-0.107251176171349,-0.0268723959619751,-0.0214077025300266,-0.0699982447024879,-0.0657888556561769,0.00630097022964186,0.0343856071942652,-0.0800730776989357,-0.0457503649175922,-0.0409569944360332,0.0360108736885911,-0.0778660061054747,-0.0413137890055859,-0.0209502011056257,-0.0746441725049424,0.0794880172024391,-0.0823069902563481,-0.0364080284861346,-0.0704170116310246,0.0364419828015502,0.00613980366091929,0.0333458436387636,-0.0171605051610296,0.0132853263382962,0.0386546708738929,-0.0019578676264444,0.0624627458422203,-0.114176622990388,-0.0229630667587609,0.0228628773607689,-0.0428591570250602,-0.00799712687735385,-0.0289120642883461,0.0243979052717014,0.0410555999740661,0.00854305055921576,-0.0180337713273214,-0.0696037965389888,0.0262367446731546,0.00924493056344291,-0.0432743482016146
