time,time_smi,raw_pupil,preproc_pupil,meancent_pupil
0,3598954.9,3.3,2.96641948272648,-0.0835385139617016
0.0333333333333333,3598988.3,0,2.97453015710045,-0.0810327588812679
0.0666666666666667,3599021.4,0,2.98647546935672,-0.0773423102831119
0.1,3599054.6,0,2.9979916844394,-0.0737844292586412
0.133333333333333,3599088,0,3.0069595702727,-0.0710138426894573
0.166666666666667,3599121.2,3,3.01416695470631,-0.0687871548299223
0.2,3599154.5,3.4,3.02145797141686,-0.0665346291678603
0.233333333333333,3599187.6,3.4,3.02983185788214,-0.0639475559374651
0.266666666666667,3599220.8,3.4,3.03901150573694,-0.061111546477809
0.3,3599254.1,0,3.0482011038288,-0.0582724629387474
0.333333333333333,3599287.6,0,3.05693300872791,-0.0555747815803347
0.366666666666667,3599320.7,0,3.06529810725632,-0.0529904233421144
0.4,3599354.1,0,3.0736382830002,-0.0504137648821198
0.433333333333333,3599387.3,0,3.08217072690368,-0.0477777060695158
0.466666666666667,3599420.5,0,3.09086924725538,-0.0450903387115705
0.5,3599453.7,0,3.09958769641484,-0.0423968144412652
0.533333333333333,3599487.1,0,3.10822591386307,-0.039728077384546
0.566666666666667,3599520.1,0,3.11678932374909,-0.0370824517758316
0.6,3599553.4,0,3.12534007429698,-0.0344407372106812
0.633333333333333,3599586.7,0,3.13392405925765,-0.0317887550284598
0.666666666666667,3599619.9,3,3.14254157636837,-0.0291264132446219
0.7,3599653.1,3.3,3.15116634474019,-0.0264618312174341
0.733333333333333,3599686.5,0,3.15977745982714,-0.0238014673090279
0.766666666666667,3599719.8,0,3.16837361456315,-0.0211457253313838
0.8,3599752.9,0,3.17696585572494,-0.018491192434271
0.833333333333333,3599786.1,3,3.18556365309283,-0.0158349429731562
0.866666666666667,3599819.5,3.4,3.19416809477513,-0.0131766407820445
0.9,3599852.6,3.4,3.20277456786124,-0.0105177109981854
0.933333333333333,3599886,0,3.21137880463863,-0.00785947211149065
0.966666666666667,3599919.2,0,3.2199801035598,-0.00520214086179305
1,3599952.4,0,3.22858037691789,-0.0025451264550356
1.03333333333333,3599985.8,0,3.23718153861569,0.000112162400138076
1.06666666666667,3600018.9,0,3.24578399364237,0.00276985082324834
1.1,3600052.1,0,3.25438695570219,0.00542769589188399
1.13333333333333,3600085.4,0,3.26298957051227,0.00808543367933174
1.16666666666667,3600118.8,0,3.27159161843768,0.0107429963304004
1.2,3600151.9,3.1,3.28019341978639,0.0134004828027435
1.23333333333333,3600185.3,3.4,3.2887953541408,0.0160580103665794
1.26666666666667,3600218.6,3.4,3.29739753588421,0.0187156143600958
1.3,3600251.6,3.5,3.30599983594244,0.0213732549064259
1.33333333333333,3600284.9,0,3.31460208640462,0.0240308801302849
1.36666666666667,3600318.1,0,3.32320422938329,0.0266884721476152
1.4,3600351.4,0,3.33180631622498,0.0293460468216847
1.43333333333333,3600384.8,3.5,3.34040842088131,0.0320036269995086
1.46666666666667,3600418,3.5,3.34901057202525,0.0346612215394604
1.5,3600451.1,3.2,3.35761274954976,0.0373188242295658
1.53333333333333,3600484.4,0,3.36621492102655,0.0399764250512581
1.56666666666667,3600517.6,0,3.37481707249067,0.0426340196901264
1.6,3600550.9,0,3.38341921166129,0.0452916105309777
1.63333333333333,3600584.1,0,3.39202135269641,0.0479492019478555
1.66666666666667,3600617.4,3,3.40062350230513,0.0506067960135083
1.7,3600650.6,2.1,3.40922565760017,0.0532643918359249
1.73333333333333,3600683.9,0,3.41782781242753,0.0559219875138537
1.76666666666667,3600717.3,0,3.4264299636006,0.0585795820628033
1.8,3600750.4,0,3.43503211216106,0.0612371758046017
1.83333333333333,3600783.8,0,3.44363426077181,0.0638947695619366
1.86666666666667,3600816.9,0,3.4522364109317,0.0665523637978709
1.9,3600850.3,0,3.46083856228462,0.0692099584023872
1.93333333333333,3600883.5,0,3.46944071368367,0.0718675530211536
1.96666666666667,3600916.6,0,3.47804286442981,0.0745251474382084
2,3600949.9,0,3.48664501463424,0.0771827416879032
2.03333333333333,3600983.3,0,3.49524716478855,0.0798403359221126
2.06666666666667,3601016.4,0,3.5038493152163,0.0824979302408004
2.1,3601049.6,0,3.51245146588872,0.0851555246350783
2.13333333333333,3601083,0,3.52105361659617,0.0878131190401795
2.16666666666667,3601116.2,0,3.5296557671899,0.0904707134101456
2.2,3601149.4,0,3.53825791767367,0.0931283077461414
2.23333333333333,3601182.6,0,3.5468600681364,0.0957859020756379
2.26666666666667,3601216,0,3.55546221864607,0.0984434964196341
2.3,3601249.1,0,3.56406436920491,0.101101090778824
2.33333333333333,3601282.5,0,3.57266651977544,0.103758685141623
2.36666666666667,3601315.7,0,3.58126867032677,0.10641627949849
2.4,3601349.1,3.1,3.5898708208562,0.109073873848593
2.43333333333333,3601382.1,3.2,3.59847297137945,0.111731468196786
2.46666666666667,3601415.4,3.2,3.60707512191048,0.114389062547382
2.5,3601448.7,0,3.61567727245121,0.117046656900976
2.53333333333333,3601482.5,0,3.62427942299511,0.119704251255547
2.56666666666667,3601515.1,3,3.63288157353589,0.122361845609157
2.6,3601548.6,3.7,3.64148372407239,0.125019439961444
2.63333333333333,3601581.7,3.7,3.65008587460732,0.127677034313243
2.66666666666667,3601614.9,3.8,3.65868802514346,0.13033462866542
2.7,3601648.2,3.7,3.6671988904065,0.132964020857541
2.73333333333333,3601681.6,3.7,3.67510317881018,0.13540601395349
2.76666666666667,3601714.8,3.6,3.68036310100689,0.137031042423305
2.8,3601747.9,3.6,3.67773503468049,0.136219113569371
