sub107_1,sub107_2,sub107_3,sub107_4,sub107_5,sub107_6,sub107_7,sub107_9,sub108_2,sub108_3,sub109_1,sub109_2,sub109_3,sub109_4,sub109_5,sub109_6,sub109_7,sub109_8,sub109_9,sub110_1,sub110_2,sub110_4,sub110_5,sub110_6,sub110_7,sub110_9,sub111_1,sub111_2,sub111_5,sub111_7,sub111_9,sub112_1,sub112_2,sub112_3,sub112_4,sub112_5,sub112_6,sub112_7,sub112_9,sub113_1,sub113_2,sub113_3,sub113_4,sub113_5,sub113_6,sub113_7,sub113_8,sub113_9,sub114_5,sub114_7
-0.11589358823508,0.0633708733961185,0.000693690351666823,0.0813383112313168,0.0111483826548399,-0.0330982000066635,0.0694296482320623,0.0103487410057886,-0.12729329968289,-0.0522397367009094,-0.118559484891084,-0.212332166218969,-0.195635271121194,0.0135673840818909,-0.139244460274265,-0.0898098586521089,-0.109166584999131,-0.120743026048166,-0.226887836946076,-0.231454943360396,-0.47481549645488,0.100107831741683,-0.0724435499456465,0.103027944120438,-0.0725700476098047,-0.0128612572974402,0.021982371764776,0.162078037463009,0.0189551726135841,-0.0202527923604576,0.117275150143067,-0.0825576261084071,0.0446901520002682,0.0281706471479636,0.0794825473800427,-0.114581913725977,-0.184075858127338,-0.143940672979124,-0.119079139619702,-0.274401907540546,-0.366882185018502,-0.0494961399380821,-0.0350393906675477,0.0109834845324598,-0.0577610216657392,-0.141709288089228,-0.0673907180525417,-0.224645637817432,0.0200531776510879,0.0410454423170653
-0.116502751177661,0.0284336832621006,-0.0244930356228021,0.108585305886194,-0.00898596684531841,-0.0519312800979476,0.0301149703875765,0.0152028154712859,-0.0714303316396776,-0.193810321330216,-0.118252687284026,-0.187132514214801,-0.24450296930047,0.00433342385135541,-0.153011268022918,-0.10439772343058,-0.0869794848780315,-0.11911229650052,-0.208225334182401,-0.13158070521616,-0.335631379703783,0.143536823382885,-0.014572270469169,0.0888596683999561,-0.0874483206207423,-0.0124011376378909,0.0117681651385797,0.118743547097284,0.0114514051907891,-0.0063079889534187,0.08288759979076,-0.0408343747350179,0.0557881973158569,0.0166167586031011,0.0549536702554466,-0.122662225014864,-0.2004795724559,-0.116578667129959,-0.11081213119147,-0.242166676832145,-0.360968353130554,-0.0643395833283017,-0.0506994861126131,-0.090907156431607,-0.0329348208699808,-0.159369775202769,-0.078921708378998,-0.20776738102104,0.0285388292252414,0.0176585084561475
-0.112883026979826,-0.0027067797734867,-0.0486997520499196,0.0783037090025992,-0.024625418768942,-0.065657063092037,-0.0101471730632693,0.0229153788727709,-0.0208181370998794,-0.244525289969327,-0.104610654879027,-0.15674555567023,-0.242685435116698,0.00186275199045252,-0.163485334682936,-0.113176832379793,-0.0619268301726024,-0.110913100836883,-0.186538788710477,-0.0653741015897562,-0.219363451918533,0.133262328144331,0.0245492160511974,0.0719824235694723,-0.0986533941458214,-0.0165767463469076,0.00151567885449704,0.105391774826555,-0.00126229142257912,0.00459202166453046,0.0535480953090963,-0.00330105463138604,0.0551781995615943,0.00345128961968006,0.044774893968012,-0.108345296540508,-0.222860436826298,-0.153693374363189,-0.0944364332832444,-0.198100034402977,-0.352376064074538,-0.0874832272512179,-0.0459341979752284,-0.0897572297112209,-0.0121452721256145,-0.163786223763826,-0.112611504627697,-0.187555407980159,0.0297934875956607,-0.00388439565582465
-0.108405990603425,-0.0268949938945039,-0.0692111373008221,0.0195095213793684,-0.0305119682568508,-0.0742923986803699,-0.045330397276503,0.0306173077837952,0.0321973907711855,-0.215367314830226,-0.0855112765171341,-0.124607664095237,-0.208492483035739,0.00816315762892453,-0.163573955041757,-0.113770730350389,-0.0361470989018805,-0.097767971068523,-0.16162612560226,-0.0511848963234343,-0.139583824932891,0.0689205957647919,0.0352583091715532,0.050631293180483,-0.107478125747176,-0.0237205358074878,-0.00195676612683186,0.0846814290916433,-0.0171534989278812,0.0133728543273527,0.0413012439251345,0.016176113202175,0.0325118382865013,-0.00895269383749736,0.0424235129221445,-0.0715934360300908,-0.237330234799689,-0.191242737559812,-0.0696153620395348,-0.162029768804917,-0.344462401729605,-0.106286509543578,-0.0316479553119365,-0.0517479960343971,-0.00622013770965214,-0.155246037677808,-0.148450102516783,-0.16394226650962,0.0231601912462951,-0.0157718628067414
-0.102889374784656,-0.0321215055554233,-0.0867492691327468,-0.0409462210854501,-0.0253515464746579,-0.0759637031590052,-0.0751764219055154,0.0289248933574162,0.039197162385912,-0.141658158153976,-0.0737379360484825,-0.103156296794763,-0.177196955229826,0.0204844252893254,-0.148382459724368,-0.106064773721712,-0.0212628397964205,-0.082337054237582,-0.136005810400218,-0.07751240713893,-0.111752464013733,0.0277249949264755,0.0240823366531516,0.0324591178911192,-0.112108599335169,-0.0341618039627982,-0.00731263758395206,0.0230746302054954,-0.0271841064521473,0.0103785405903717,0.0469510882570294,0.024567854440296,-0.0117169538437217,-0.0151481061035583,0.0385217853639272,-0.0337744075521476,-0.231803417495719,-0.219913199293412,-0.0507379501205872,-0.143778033889774,-0.326364669843139,-0.117984321136524,-0.0271236505042386,-0.0227542277617573,-0.0226862810106034,-0.13754778571989,-0.165023147970323,-0.14859154231037,0.0141147166633316,-0.0123450720643494
-0.0986281784793628,-0.0183097366605998,-0.0967201138136538,-0.0695874306969876,-0.0158672963767734,-0.0695259387169795,-0.0869963569062227,0.0174883626049715,0.0323458783729976,-0.0831459661951152,-0.0756397802635554,-0.0915559677781232,-0.15495012290708,0.0290277245171269,-0.124696657687925,-0.0891786009515176,-0.0220556143626387,-0.064601258335639,-0.111098410833687,-0.104099046967072,-0.0768625785888144,0.0269902328923949,0.00882577443887797,0.0122891868227176,-0.115628807791852,-0.0392597258930775,-0.0145142464803958,0.035127355478865,-0.0316144193798518,-0.00146058814894572,0.063268841699377,0.037716171052974,-0.0467538194691392,-0.0108807788773707,0.0347011433047025,-0.00886913094238378,-0.198254044593939,-0.213257131026118,-0.044880598825121,-0.135692658094452,-0.295886316410194,-0.117819554942976,-0.0401981830746023,-0.0418582935641326,-0.0524062089111732,-0.124814646537786,-0.151343822718232,-0.134985494364418,0.0115952902799658,0.00536639363723605
-0.0917240209103948,0.00573274624602422,-0.0902760439981975,-0.0769667602766202,-0.00946528492308578,-0.0588486369083579,-0.0838741896309781,0.00285136245814547,0.0313118846437414,-0.0660422463452418,-0.0830331749424572,-0.0893666286529132,-0.135425033195937,0.0299826032110499,-0.0987934848479663,-0.069159848472284,-0.0321405678827485,-0.0484192047721465,-0.0915882619130898,-0.0981802029540636,-0.0324364169060023,0.0613346800577654,0.0126882708414119,-0.0109015643707668,-0.116890802534161,-0.0336730908546322,-0.0220746474721032,0.0155700909692806,-0.031846314970556,-0.0116779682127486,0.0719741767862284,0.0671345025349635,-0.0530908296763895,-0.000885524900225986,0.0341350366957621,-0.00449756488575017,-0.146125792734993,-0.194192706854377,-0.0465509056919536,-0.124781540107161,-0.253808113570581,-0.108968968277149,-0.0644660095544505,-0.0738146832744028,-0.0756695208380513,-0.120537140118353,-0.116947121652162,-0.11584627185249,0.0157716967536343,0.0251332809036234
-0.0797329673495798,0.0293395834208315,-0.0640510228490064,-0.0694890534444338,-0.00364238549700342,-0.0456162653366521,-0.0637484985134976,-0.00767227773651346,0.0400001839083096,-0.069475868205557,-0.0869998615769732,-0.0746909051303384,-0.104461346197829,0.0207849685059737,-0.0765612856366175,-0.0487918040677587,-0.0398870517189009,-0.0313030946366536,-0.0764682489974745,-0.0584956758795013,0.0197119134960987,0.0901444875463493,0.0402485770044373,-0.0303802048419137,-0.114644274104447,-0.017256017314379,-0.0236313440033183,-0.0122906355435938,-0.030894880314221,-0.0109503307440583,0.0672910075478775,0.101205665483284,-0.0156290060682895,0.0156037323350361,0.0457804934958363,-0.00687784681661877,-0.0974287056504705,-0.167201297832457,-0.0423471777156804,-0.104306407359912,-0.203858134606608,-0.0919522126182364,-0.0817403559110612,-0.0962568691650978,-0.0782998686330342,-0.121598843973147,-0.0878851072005502,-0.0898456236039518,0.0224058865061407,0.025426788651574
-0.0562873252951748,0.0475829771451938,-0.0266356774834476,-0.0634850113095735,0.0090403624692431,-0.0307259198873916,-0.0363616172163032,-0.00919029206239033,0.0322826914102137,-0.0671489363657976,-0.0817653451803689,-0.0479995708583611,-0.0658029947951063,0.00873442611223937,-0.0582201617933012,-0.0315567618924605,-0.0383478588804392,-0.0182777995347803,-0.0687821921136226,-0.00285913831826104,0.0499539346324597,0.0935292645437338,0.0778541839253528,-0.0368776143917988,-0.110176608947334,0.00318517529732332,-0.0137403178487671,-0.0862057680967913,-0.0321898669460106,-0.00104539652415229,0.0534953148641766,0.131809967985902,0.0492226588609994,0.0360837595115267,0.0689416236207548,0.00054762288589477,-0.0682409665396434,-0.142210211767682,-0.0308720116790111,-0.0798778846505004,-0.150685668296209,-0.076255167308597,-0.0759966129287233,-0.0955267277599755,-0.0624392697575658,-0.114729336029614,-0.0745463313511972,-0.0615114917085955,0.0242333988587396,0.0163023422448691
-0.0160710266724655,0.062388381112141,0.00298831809954362,-0.0551914775002297,0.0334691928809454,-0.0112559323190993,-0.0143555064085872,-0.00538424586151242,-0.00524153995471264,-0.0457834096326355,-0.0685106834912848,-0.00858286483704641,-0.0314507880072077,0.00417347502132273,-0.0385908097370822,-0.0126476639567909,-0.0276499012586808,-0.00752794094956819,-0.0662869138534817,0.0464820991113445,0.0518475348118425,0.0670463565871708,0.103740862013764,-0.0256867050018226,-0.101675703834893,0.0178256665397589,0.009449301771044,-0.0385139545091514,-0.0292158418639429,0.0130936415117195,0.0382367086822623,0.146347872601664,0.112308411887929,0.0549681187402943,0.0951394097030426,0.0180836818605499,-0.0657409642481546,-0.111987457314484,-0.00549782380976671,-0.0615189284977247,-0.0985972565955369,-0.0617998392910654,-0.0499388413671379,-0.0872996653459056,-0.0433411994016066,-0.104521839529932,-0.0765519064501899,-0.0347298423651626,0.0185773152922253,-0.00720570891480012
